Doses Administered,Doses per 1000,Fully Vaccinated Population (%),Date_Time
2184789416,291.0,6.19,2021-06-07 08:00:00
2220425093,292.4,6.2,2021-06-14 07:45:07
2415712510,318.1,9.7,2021-06-15 14:53:20
2454140931,323.2,9.7,2021-06-16 14:19:06
2496809053,328.8,9.9,2021-06-17 17:33:33
2543433842,334.9,10.0,2021-06-18 14:30:57
2621055106,345.1,10.1,2021-06-20 14:31:02
2659965636,350.3,10.2,2021-06-21 14:48:39
2661320992,350.4,10.2,2021-06-22 14:30:51
2703495288,356.0,10.3,2021-06-23 14:30:57
2745905127,361.6,10.4,2021-06-24 09:19:21
2789178281,367.3,10.5,2021-06-24 14:30:48
2789869502,367.4,10.5,2021-06-25 14:31:14
